2025-04-16 오후 4:09:00,100,13,51
2025-04-16 오후 7:20:00,10,1,1
2025-04-16 오후 7:20:07,50,1,2
2025-04-16 오후 7:20:10,30,1,3
2025-04-16 오후 7:20:13,100,1,4
2025-04-16 오후 7:20:16,0,1,5
2025-04-16 오후 7:20:27,10,2,6
2025-04-16 오후 7:20:30,50,2,7
2025-04-16 오후 7:20:33,30,2,8
2025-04-16 오후 7:20:35,100,2,9
2025-04-16 오후 7:20:37,100,3,10
2025-04-16 오후 7:20:39,0,2,11
2025-04-16 오후 7:20:52,10,3,12
2025-04-16 오후 7:20:54,50,3,13
2025-04-16 오후 7:20:57,10,4,14
2025-04-16 오후 7:21:01,30,3,15
2025-04-16 오후 7:21:02,100,4,16
2025-04-16 오후 7:21:03,0,3,17
2025-04-16 오후 7:21:04,0,4,18
2025-04-16 오후 7:21:11,10,5,19
2025-04-16 오후 7:21:13,100,5,20
2025-04-16 오후 7:21:15,30,4,21
2025-04-16 오후 7:21:17,30,5,22
2025-04-16 오후 7:21:18,100,6,23
2025-04-16 오후 7:21:22,50,4,24
2025-04-16 오후 7:21:23,30,6,25
2025-04-16 오후 7:21:26,100,7,26
2025-04-16 오후 7:21:27,50,5,27
2025-04-17 오전 11:05:52,100,1,1
2025-04-17 오전 11:05:58,100,2,2
2025-04-17 오전 11:06:04,0,1,3
2025-04-17 오전 11:06:16,50,1,4
2025-04-17 오전 11:06:19,100,3,5
2025-04-17 오전 11:06:23,100,4,6
2025-04-17 오전 11:06:26,50,2,7
2025-04-17 오전 11:06:30,30,1,8
2025-04-17 오전 11:06:33,10,1,9
2025-04-17 오전 11:06:35,10,2,10
2025-04-17 오전 11:06:37,10,3,11
2025-04-17 오전 11:06:41,10,4,12
2025-04-17 오전 11:06:43,30,2,13
2025-04-17 오전 11:06:47,100,5,14
2025-04-17 오전 11:06:48,100,6,15
2025-04-17 오전 11:06:58,50,3,16
2025-04-17 오전 11:07:01,100,7,17
2025-04-17 오전 11:07:04,50,4,18
2025-04-17 오전 11:07:08,100,8,19
2025-04-17 오전 11:07:11,50,5,20
2025-04-17 오전 11:07:13,50,6,21
2025-04-17 오전 11:07:17,30,3,22
2025-04-17 오전 11:07:20,10,5,23
2025-04-17 오전 11:07:22,10,6,24
2025-04-17 오전 11:07:23,0,2,25
2025-04-17 오후 4:06:19,50,1,1
2025-04-17 오후 4:06:20,50,2,2
2025-04-17 오후 4:06:20,50,3,3
2025-04-17 오후 4:06:21,10,1,4
2025-04-17 오후 4:06:23,50,4,5
2025-04-17 오후 4:06:24,50,5,6
2025-04-17 오후 4:06:30,30,1,7
2025-04-17 오후 4:06:30,30,2,8
2025-04-17 오후 4:06:33,100,1,9
2025-04-17 오후 4:06:35,0,1,10
2025-04-17 오후 4:06:36,0,2,11
2025-04-17 오후 4:06:38,0,3,12
2025-04-17 오후 4:06:39,0,4,13
2025-04-17 오후 4:06:39,0,5,14
2025-04-17 오후 4:06:41,0,6,15
